SERIES,PROVINSI,SEKTOR,NILAI_PDRB,NILAI_PBB,is_invalid
201601,Bengkulu,Tambang dan Gali,730.52,3375382816.0,False
201602,Bengkulu,Tambang dan Gali,742.4,1478481062.0,False
201701,Bengkulu,Tambang dan Gali,736.88,1609492272.0,False
201702,Bengkulu,Tambang dan Gali,745.89,11419342325.0,False
201801,Bengkulu,Tambang dan Gali,755.77,2536917830.0,False
201802,Bengkulu,Tambang dan Gali,767.69,3676634641.0,False
201901,Bengkulu,Tambang dan Gali,776.43,4259600520.0,False
201902,Bengkulu,Tambang dan Gali,785.24,7083266750.0,False
202001,Bengkulu,Tambang dan Gali,778.1,4022638429.0,False
202002,Bengkulu,Tambang dan Gali,756.97,8276655123.0,False
202101,Bengkulu,Tambang dan Gali,774.36,1965357746.0,False
202102,Bengkulu,Tambang dan Gali,860.04,12564484433.0,False
202201,Bengkulu,Tambang dan Gali,780.82,4024447209.0,False
202202,Bengkulu,Tambang dan Gali,807.56,23023836900.0,False
202301,Bengkulu,Tambang dan Gali,806.41,6512407994.0,False
202302,Bengkulu,Tambang dan Gali,916.87,35516098220.0,False
201402,Bengkulu,"Tani, Hutan, dan Ikan",5516.79,14784883221.0,False
201501,Bengkulu,"Tani, Hutan, dan Ikan",5565.68,3190243612.0,False
201502,Bengkulu,"Tani, Hutan, dan Ikan",5632.29,16187035671.0,False
201601,Bengkulu,"Tani, Hutan, dan Ikan",5705.43,240425427.0,False
201602,Bengkulu,"Tani, Hutan, dan Ikan",5846.11,22913969021.0,False
201701,Bengkulu,"Tani, Hutan, dan Ikan",5914.27,2746117982.0,False
201702,Bengkulu,"Tani, Hutan, dan Ikan",6015.19,24869794899.0,False
201801,Bengkulu,"Tani, Hutan, dan Ikan",6096.83,2594964927.0,False
201802,Bengkulu,"Tani, Hutan, dan Ikan",6212.66,25839497118.0,False
201901,Bengkulu,"Tani, Hutan, dan Ikan",6325.96,978199720.0,False
201902,Bengkulu,"Tani, Hutan, dan Ikan",6421.31,28754183853.0,False
202001,Bengkulu,"Tani, Hutan, dan Ikan",6488.18,663903261.0,False
202002,Bengkulu,"Tani, Hutan, dan Ikan",6307.81,32475371774.0,False
202101,Bengkulu,"Tani, Hutan, dan Ikan",6604.27,7210859890.0,False
202102,Bengkulu,"Tani, Hutan, dan Ikan",6505.45,33587584553.0,False
202201,Bengkulu,"Tani, Hutan, dan Ikan",6839.37,7789827281.0,False
202202,Bengkulu,"Tani, Hutan, dan Ikan",6859.96,31851926227.0,False
202301,Bengkulu,"Tani, Hutan, dan Ikan",7008.48,8327695981.0,False
202302,Bengkulu,"Tani, Hutan, dan Ikan",6973.21,34174127974.0,False
201402,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1483.72,13657561104196.0,False
201501,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1476.35,35444415598.0,False
201502,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1479.8,15601869540716.0,False
201601,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1464.24,-217822476938.0,False
201602,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1447.54,151966314453.0,False
201701,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1438.84,96161732092.0,False
201702,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1477.46,259340271580.0,False
201801,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1487.23,-136171614442.0,False
201802,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1458.11,10995898331862.0,False
201901,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1443.6,7338707633839.0,False
201902,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1383.72,3547643321913.0,False
202001,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1344.78,4515184420051.0,False
